"lat","lng","type"
17.41789,78.33992,"Hospital"
17.3661307,78.454946,"Hospital"
17.4047577,78.4821388,"Hospital"
17.428167,78.432681,"Hospital"
17.396329,78.472002,"Hospital"
17.492858,78.397348,"Hospital"
17.4919807,78.4014859,"Hospital"
17.4221118,78.4364672,"Hospital"
17.4247474,78.4330866,"Hospital"
17.4047361,78.4749724,"Hospital"
17.2599581,78.3840635,"Hospital"
17.3920034,78.4961504,"Hospital"
17.394409,78.462722,"Hospital"
17.4294071,78.4177495,"Hospital"
17.368052,78.531654,"Hospital"
17.3580828,78.4424799,"Hospital"
17.36845,78.538723,"Hospital"
17.4656313,78.4928848,"Hospital"
17.3644219,78.4732041,"Hospital"
17.5106911,78.4471732,"Hospital"
17.3661672,78.4950484,"Hospital"
17.4228821,78.4522346,"Hospital"
17.443011,78.480821,"Hospital"
17.434521,78.445408,"Hospital"
17.4061555,78.4792796,"Hospital"
17.488822,78.400039,"Hospital"
17.37244,78.516604,"Hospital"
17.4856478,78.3903032,"Hospital"
17.4864934,78.3964533,"Hospital"
17.429356,78.533463,"Hospital"
17.3695787,78.5213768,"Hospital"
17.429172,78.456677,"Hospital"
17.4047697,78.4957472,"Hospital"
17.4022849,78.4830019,"Hospital"
17.4137713,78.4612226,"Hospital"
17.3519546,78.3734668,"Hospital"
17.401955,78.462487,"Hospital"
17.3916582,78.427009,"Hospital"
17.4942198,78.3983429,"Hospital"
17.3424278,78.5070136,"Hospital"
17.477319,78.393803,"Hospital"
17.4297664,78.4506783,"Hospital"
17.4360076,78.4832759,"Hospital"
17.4264284,78.4575923,"Hospital"
17.413554,78.490537,"Hospital"
17.4349774,78.4551925,"Hospital"
17.4823634,78.5528626,"Hospital"
17.393168,78.4919071,"Hospital"
17.427114,78.444485,"Hospital"
17.4748124,78.567958,"Hospital"
17.4249658,78.4030633,"Hospital"
17.3644351,78.5264888,"Hospital"
